Name,Priority,Soft Modules (categories),Status,➰ Actions (CRUD),👤 Actors
I must be able to specify the rate limit of long-running routines and the rate limit of direct routines (long-running rate + direct rate = host/program rate),,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must run long-running routines with respect to their rate limit,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
System must run direct routines with respect to their rate limit,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to specify whether the routine is Network or HTTP or HTTP-COMPUTATIONAL when creating it,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to resume a paused routine,,"Routine Management (paused) (Soft%20Modules%20(categories)/Routine%20Management%20(paused)%202b7c5dcbed45803a909bc7a6756da9c7.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
The system must be able to resume from where the routine was paused,,"Routine Management (paused) (Soft%20Modules%20(categories)/Routine%20Management%20(paused)%202b7c5dcbed45803a909bc7a6756da9c7.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
"I must be able to restart a canceled routine, implies creating a routine run with the same config",,"Routine Management (canceled) (Soft%20Modules%20(categories)/Routine%20Management%20(canceled)%202b7c5dcbed4580a48bcef4ab2c18c6f6.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must store the cause of failure,,"Routine Management (failed) (Soft%20Modules%20(categories)/Routine%20Management%20(failed)%202b7c5dcbed458090b2f6c67d01835ec4.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to query the cause of failure,,"Routine Management (failed) (Soft%20Modules%20(categories)/Routine%20Management%20(failed)%202b7c5dcbed458090b2f6c67d01835ec4.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to resume a failed routine,,"Routine Management (failed) (Soft%20Modules%20(categories)/Routine%20Management%20(failed)%202b7c5dcbed458090b2f6c67d01835ec4.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to restart a canceled routine, implies creating a routine run with the same config",,"Routine Management (failed) (Soft%20Modules%20(categories)/Routine%20Management%20(failed)%202b7c5dcbed458090b2f6c67d01835ec4.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
The system must store duration taken by the routine,,"Routine Management (finished) (Soft%20Modules%20(categories)/Routine%20Management%20(finished)%202b7c5dcbed45801b8c80f00cf66baa88.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
The system must store results of a routine (detailed or summarized),,"Routine Management (finished) (Soft%20Modules%20(categories)/Routine%20Management%20(finished)%202b7c5dcbed45801b8c80f00cf66baa88.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
"I must be able to specify results verbosity (summarized, verbose) for a routine run",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify matching and filtering rules for verbose routine runs,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a routine,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a routine run,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify the authentication object when creating a routine run,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
A routine must send its results in realtime or at end of routine to the central server,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
A routine must query its rate limit every interval of time,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
A routine must query its status every interval of time,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
A routine must update its status when it has failed,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
A routine must update its status when it has finished,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
A routine must store intermediate results locally when needed,,"Routine Induced Functionalities (Soft%20Modules%20(categories)/Routine%20Induced%20Functionalities%202b7c5dcbed458008b904c394e592d3fe.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to read all authentication objects under a program,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all authentication objects under a host,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify when and how many times is the dynamic authentication object code executed as a default config (this can be overriden by routines),,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all global comparators,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all program specific comparators,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all host specific comparators,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete specific authentication objects,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a specific comparator,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"System must store import date, how many unique requests where stored",,Burp export file import (Soft%20Modules%20(categories)/Burp%20export%20file%20import%202b3c5dcbed458053a312dc5407485ce3.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to read all imports under a specific program,,Burp export file import (Soft%20Modules%20(categories)/Burp%20export%20file%20import%202b3c5dcbed458053a312dc5407485ce3.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all hosts under a specific program,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read single host data,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read a specific authentication object,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit an authentication object details,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all programs,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read a specific program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all requests under a specific host,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all requests under a specific program,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read a specific request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to read all {body,path-vars,params} coupled for a specific request",,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to read a single specific {body,path-vars,params} coupled for a specific request",,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to delete a single specific {body,path-vars,params} for a specific request",,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to read all vulnerabilities,,Vulnerability Management (Soft%20Modules%20(categories)/Vulnerability%20Management%202b3c5dcbed4580c18270c0d863cd3636.html),Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view all routine runs under a host with filtering options,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view all routine runs under a program with filtering options,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view all present routine runs under all programs,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view a specific routine run,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view results of a routine run in all states,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to view running configuration of a specific routine run,,"Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html), Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html)",Not started,READ (Actions%20(CRUD)/READ%202b8c5dcbed45800893d7e901dfdaee49.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
Central worker must be able to authenticate to the central server,,System Authentication (Soft%20Modules%20(categories)/System%20Authentication%202b9c5dcbed4580cba358dc573681cc71.html),Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
" Executor workers must be able to authenticate to the central server",,System Authentication (Soft%20Modules%20(categories)/System%20Authentication%202b9c5dcbed4580cba358dc573681cc71.html),Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to authenticate to the central server,,System Authentication (Soft%20Modules%20(categories)/System%20Authentication%202b9c5dcbed4580cba358dc573681cc71.html),Not started,,USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
