Name,Functional Requirements
SYSTEM,"System must be able to uniq all requests in an export file based on multiple comparators which can be set on or off for a specific import (setting a comparator on means that it is choosed if it matches the type of host specified at host creation) (Functional%20Requirements/System%20must%20be%20able%20to%20uniq%20all%20requests%20in%20an%20exp%202b5c5dcbed4580849868e51cf2c2ed24.html), System must store all body properties values and all path parameters value for a unique request (Functional%20Requirements/System%20must%20store%20all%20body%20properties%20values%20and%20a%202b7c5dcbed45804baef8c7e5b71b01e0.html), System must store import date, how many unique requests where stored (Functional%20Requirements/System%20must%20store%20import%20date,%20how%20many%20unique%20req%202b8c5dcbed4580f4921dd4169b51cee6.html), System must be able to unique added requests based on specified comparators (Functional%20Requirements/System%20must%20be%20able%20to%20unique%20added%20requests%20based%202b6c5dcbed4580d0a402e9365be15252.html), System must store all body properties values and all path parameters value for a unique request (Functional%20Requirements/System%20must%20store%20all%20body%20properties%20values%20and%20a%202b7c5dcbed4580ddbb1ae5a6bb8b5943.html), A routine must store intermediate results locally when needed (Functional%20Requirements/A%20routine%20must%20store%20intermediate%20results%20locally%20%202b8c5dcbed4580888b44fa5832514918.html), A routine must update its status when it has finished (Functional%20Requirements/A%20routine%20must%20update%20its%20status%20when%20it%20has%20finis%202b8c5dcbed4580129370ce9098b9998e.html), A routine must update its status when it has failed (Functional%20Requirements/A%20routine%20must%20update%20its%20status%20when%20it%20has%20faile%202b8c5dcbed45805781ebdca8eae02424.html), A routine must query its status every interval of time (Functional%20Requirements/A%20routine%20must%20query%20its%20status%20every%20interval%20of%20%202b8c5dcbed4580048d93d4e0129946d2.html), A routine must query its rate limit every interval of time (Functional%20Requirements/A%20routine%20must%20query%20its%20rate%20limit%20every%20interval%202b8c5dcbed45809cb2dde2ff7870a3e8.html), A routine must send its results in realtime or at end of routine to the central server (Functional%20Requirements/A%20routine%20must%20send%20its%20results%20in%20realtime%20or%20at%20%202b8c5dcbed458032b6aaed93f77bce54.html), The system must store duration taken by the routine (Functional%20Requirements/The%20system%20must%20store%20duration%20taken%20by%20the%20routin%202b8c5dcbed4580b2aaefdc71b2fe3153.html), The system must store results of a routine (detailed or summarized) (Functional%20Requirements/The%20system%20must%20store%20results%20of%20a%20routine%20(detail%202b8c5dcbed4580c8bf4ede0dcb1b69a7.html), System must run routines with respect to the program and host rate limits (Functional%20Requirements/System%20must%20run%20routines%20with%20respect%20to%20the%20progr%202b6c5dcbed45804882bfd2c754e23a94.html), System must run long-running routines with respect to their rate limit (Functional%20Requirements/System%20must%20run%20long-running%20routines%20with%20respect%202b8c5dcbed4580b7afbaf9ab52113695.html), System must run direct routines with respect to their rate limit (Functional%20Requirements/System%20must%20run%20direct%20routines%20with%20respect%20to%20th%202b8c5dcbed4580fc84ccd1cb15cd9a3e.html), System must store the cause of failure (Functional%20Requirements/System%20must%20store%20the%20cause%20of%20failure%202b8c5dcbed45800f91f7dded4d7e7602.html), The system must be able to resume from where the routine was paused (Functional%20Requirements/The%20system%20must%20be%20able%20to%20resume%20from%20where%20the%20r%202b8c5dcbed4580eaa1c8d70cae109989.html),  Executor workers must be able to authenticate to the central server (Functional%20Requirements/Executor%20workers%20must%20be%20able%20to%20authenticate%20to%20t%202b9c5dcbed45802db3b5ffe07fa88d19.html), Central worker must be able to authenticate to the central server (Functional%20Requirements/Central%20worker%20must%20be%20able%20to%20authenticate%20to%20the%202b9c5dcbed45806d91bad0366e643825.html)"
USER,"I must be able to upload Burp export file (Functional%20Requirements/I%20must%20be%20able%20to%20upload%20Burp%20export%20file%202b5c5dcbed458051a95cf0cd619a79ed.html), I must be able to read all imports under a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20imports%20under%20a%20specifi%202b8c5dcbed458067ba90c2887e602f5f.html), I must be able to create an authentication object under a specific host (Functional%20Requirements/I%20must%20be%20able%20to%20create%20an%20authentication%20object%20%202b6c5dcbed45804d8d3cd5f192902c8e.html), I must be able to specify whether an authentication object is static or dynamic (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20an%20authenticatio%202b6c5dcbed458046b3a5f713b5849dba.html), I must be able to specify headers and cookies for static authentication objects (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20headers%20and%20cookies%20for%20%202b6c5dcbed458082b7e6ed7f49716cbd.html), I must be able to specify custom code for dynamic authentication objects (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20custom%20code%20for%20dynamic%20%202b6c5dcbed45805380c5dcd42fe10bbe.html), I must be able to specify when and how many times is the dynamic authentication object code executed as a default config (this can be overriden by routines) (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20when%20and%20how%20many%20times%20%202b8c5dcbed45801c982fc44f98a23c5f.html), I must be able to delete specific authentication objects (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20specific%20authentication%20o%202b8c5dcbed458053953ed8aafc686217.html), I must be able to read all authentication objects under a program (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20authentication%20objects%20%202b8c5dcbed4580658a94f061ab49631a.html), I must be able to read all authentication objects under a host (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20authentication%20objects%20%202b8c5dcbed4580d5a747f39fdb708ee4.html), I must be able to read a specific authentication object (Functional%20Requirements/I%20must%20be%20able%20to%20read%20a%20specific%20authentication%20o%202b8c5dcbed45805b89ead622c46c44c0.html), I must be able to edit an authentication object details (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20an%20authentication%20object%20de%202b8c5dcbed458091bbe2d1c8c131ea8a.html), I must be able to create a comparator (Functional%20Requirements/I%20must%20be%20able%20to%20create%20a%20comparator%202b5c5dcbed45800f9044ecb44df262f7.html), I must be able to specify whether the comparator is [global,program-specific,host-specific] when adding a comparator (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20comparator%20i%202b6c5dcbed4580128a79c13549be097c.html), I must be able to specify whether the comparator is standard or graphql or mixed (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20comparator%20i%202b6c5dcbed4580c2bfa1e8ec40c38fa3.html), I must be able to delete a comparator (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20comparator%202b5c5dcbed4580de9868e84a1efbb945.html), I must be able to delete a specific comparator (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20specific%20comparator%202b8c5dcbed4580f2b60bf37cc0730cb6.html), I must be able to read all global comparators (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20global%20comparators%202b8c5dcbed458054b4fde81d4d7f2d1b.html), I must be able to read all program specific comparators (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20program%20specific%20compar%202b8c5dcbed45807b9feaccd976a3b77b.html), I must be able to read all host specific comparators (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20host%20specific%20comparato%202b8c5dcbed4580879222fd2c0ef399df.html), I must be able to edit a comparator (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20a%20comparator%202b5c5dcbed4580d1981bcf36e6c04d25.html), I must be able to add a host under a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20add%20a%20host%20under%20a%20specific%20prog%202b6c5dcbed4580fda634f849b2fe5957.html), I must be able to specify whether the host is a wildcard or literal (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20host%20is%20a%20wi%202b6c5dcbed4580ad9a03d5c29df9d61c.html), I must be able to specify whether the host is graphql or standard (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20host%20is%20grap%202b6c5dcbed458096a2a6ffcce52f8a61.html), I must be able to specify whether the host is in-scope or out-of-scope (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20host%20is%20in-s%202b6c5dcbed4580c199d3d27555bf48c4.html), I must be able to set out of scope vulnerabilities for a specific host (Functional%20Requirements/I%20must%20be%20able%20to%20set%20out%20of%20scope%20vulnerabilities%202b6c5dcbed45804897aad8e5d49a7ef2.html), I must be able to set a rate limit for the host (Functional%20Requirements/I%20must%20be%20able%20to%20set%20a%20rate%20limit%20for%20the%20host%202b6c5dcbed4580f5aa5bff46b9d46e1c.html), I must be able to specify the rate limit of long-running routines and the rate limit of direct routines (long-running rate + direct rate = host/program rate) (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20the%20rate%20limit%20of%20long-r%202b8c5dcbed4580268b92e5de074abc1e.html), I must be able to delete a host (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20host%202b6c5dcbed4580829e3bd855b72b91df.html), I must be able to read all hosts under a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20hosts%20under%20a%20specific%20%202b8c5dcbed4580f49b8ac8aef93fadb9.html), I must be able to read single host data (Functional%20Requirements/I%20must%20be%20able%20to%20read%20single%20host%20data%202b8c5dcbed4580ff9a86eee226b84d76.html), I must be able to edit a host (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20a%20host%202b6c5dcbed45801dbb22d061006cc960.html), I must be able to add a program (Functional%20Requirements/I%20must%20be%20able%20to%20add%20a%20program%202b6c5dcbed458053838bfa953e9a17f3.html), I must be able to set out of scope vulnerabilities for a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20set%20out%20of%20scope%20vulnerabilities%202b6c5dcbed45801ab081e574ebc51b92.html), I must be able to set a rate limit for the program (Functional%20Requirements/I%20must%20be%20able%20to%20set%20a%20rate%20limit%20for%20the%20program%202b6c5dcbed458042a75ef9dd7d22f980.html), I must be able to delete a program (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20program%202b6c5dcbed45805993e6c88e94952c15.html), I must be able to read all programs (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20programs%202b8c5dcbed4580d69f89d75407f2cc3b.html), I must be able to read a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20read%20a%20specific%20program%202b8c5dcbed4580159201d64190e19b4b.html), I must be able to edit a program (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20a%20program%202b6c5dcbed4580429d4efe84e13a9e0c.html), I must be able to add a request under a specific host (Functional%20Requirements/I%20must%20be%20able%20to%20add%20a%20request%20under%20a%20specific%20h%202b6c5dcbed4580448782c05f9d4936e7.html), I must be able to specify comparators when adding a request (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20comparators%20when%20adding%20%202b6c5dcbed4580d99046c290afd8af2d.html), I must be able to delete a request (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20request%202b6c5dcbed458021a1d9e14e686bd44c.html), I must be able to delete a single specific {body,path-vars,params} for a specific request (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20single%20specific%20%7Bbody,p%202b8c5dcbed45806e93a7c9dda53745e1.html), I must be able to read all requests under a specific host (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20requests%20under%20a%20specif%202b8c5dcbed4580d8a57dc87fdb2c431d.html), I must be able to read all requests under a specific program (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20requests%20under%20a%20specif%202b8c5dcbed45809fa322dcd81c839547.html), I must be able to read a specific request (Functional%20Requirements/I%20must%20be%20able%20to%20read%20a%20specific%20request%202b8c5dcbed45806489f9f3bc7f6ff713.html), I must be able to read all {body,path-vars,params} coupled for a specific request (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20%7Bbody,path-vars,params%7D%202b8c5dcbed4580678631c4646053aa4d.html), I must be able to read a single specific {body,path-vars,params} coupled for a specific request (Functional%20Requirements/I%20must%20be%20able%20to%20read%20a%20single%20specific%20%7Bbody,pat%202b8c5dcbed4580e385c3d222fb166315.html), I must be able to edit a request (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20a%20request%202b6c5dcbed45800289f5ee1877699a5f.html), I must be able to specify comparators when editing a request (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20comparators%20when%20editing%202b6c5dcbed4580088a6fc8560006ad70.html), I must be able to add a vulnerability (Functional%20Requirements/I%20must%20be%20able%20to%20add%20a%20vulnerability%202b6c5dcbed4580beadb6d709767c578a.html), I must be able to edit a vulnerability (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20a%20vulnerability%202b6c5dcbed4580e4af7deeb6fb03557b.html), I must be able to delete a vulnerability (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20vulnerability%202b6c5dcbed458045ae57c83ae24bc1c5.html), I must be able to read all vulnerabilities (Functional%20Requirements/I%20must%20be%20able%20to%20read%20all%20vulnerabilities%202b8c5dcbed458020be6ae304df1b0414.html), I must be able to specify permitted scopes of a routine [program,host,request] on creation (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20permitted%20scopes%20of%20a%20ro%202b6c5dcbed45801ca78bc64843174e93.html), I must be able to specify between two types of routines, long-running and direct, when creating a routine (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20between%20two%20types%20of%20rou%202b8c5dcbed4580d69c62d6584d4c00e2.html), I must be able to select a specific target, a [program,host,request], when creating a routine run (Functional%20Requirements/I%20must%20be%20able%20to%20select%20a%20specific%20target,%20a%20%5Bpro%202b6c5dcbed4580fb9dd6f4117fca314d.html), I must be able create force-run routine run (Functional%20Requirements/I%20must%20be%20able%20create%20force-run%20routine%20run%202b6c5dcbed4580a79fc9ce5943121a7b.html), I must be able to specify whether a force run respects rate limit or not (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20a%20force%20run%20resp%202b7c5dcbed45801ea5dbd98a8c942d21.html), I must be able to create queued routine run (Functional%20Requirements/I%20must%20be%20able%20to%20create%20queued%20routine%20run%202b6c5dcbed4580bf9d1ad71fbe00b8cf.html), I must be able to create scheduled run of a routine at a specific time (using Quartz) (Functional%20Requirements/I%20must%20be%20able%20to%20create%20scheduled%20run%20of%20a%20routin%202b6c5dcbed45806bafd0fe4ac11c41f9.html), I must be able to cancel a specific scheduled routine (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20a%20specific%20scheduled%20rout%202b6c5dcbed4580d7b100dac7094bd9c9.html), I must be able to pause a specific scheduled routine (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20a%20specific%20scheduled%20routi%202b6c5dcbed458064ba28fefc343e07cd.html), I must be able to select vulnerability type for a routine (Functional%20Requirements/I%20must%20be%20able%20to%20select%20vulnerability%20type%20for%20a%20%202b6c5dcbed4580379cb9d480ee868d35.html), I must be able to specify whether the routine is Network or HTTP or HTTP-COMPUTATIONAL when creating it (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20routine%20is%20N%202b8c5dcbed4580f1901fe7e8453ca83f.html), I must be able to specify whether the routine overhead is high,medium or low (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20routine%20over%202b6c5dcbed458093adebf165db99fb69.html), I must be able to specify results verbosity (summarized, verbose) for a routine run (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20results%20verbosity%20(summa%202b8c5dcbed4580d28097d51838ff9a23.html), I must be able to specify matching and filtering rules for verbose routine runs (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20matching%20and%20filtering%20r%202b8c5dcbed458032b557c01ac818f4e4.html), I must be able to cancel a specific queued routine (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20a%20specific%20queued%20routine%202b7c5dcbed45807b800dc4d8c4b2f01d.html), I must be able to pause a specific queued routine (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20a%20specific%20queued%20routine%202b7c5dcbed458094965ef756709a7055.html), I must be able to pause a specific running routine (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20a%20specific%20running%20routine%202b7c5dcbed458008bb77cf92effbe9fe.html), I must be able to cancel a specific running routine (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20a%20specific%20running%20routin%202b7c5dcbed45800a9cf6c2bc164bf18f.html), I must be able to specify whether the routine is queued or force ran after its schedule comes when creating a scheduled routine run (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20whether%20the%20routine%20is%20q%202b7c5dcbed458088aaaaed3ab5f741b7.html), I must be able to cancel all scheduled routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20all%20scheduled%20routines%20ba%202b6c5dcbed458029807aecd6a51bfbc0.html), I must be able to cancel all running routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20all%20running%20routines%20base%202b7c5dcbed4580a8a4f5fea499b9fbfe.html), I must be able to cancel all queued routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20all%20queued%20routines%20based%202b7c5dcbed45809b865ec59fbcf7c9fd.html), I must be able to pause all scheduled routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20all%20scheduled%20routines%20bas%202b6c5dcbed458010bc45ccf64fbd35ad.html), I must be able to pause all queued routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20all%20queued%20routines%20based%20%202b7c5dcbed4580bbb80fd0d90012e4b4.html), I must be able to pause all running routines based on a specific criteria ( program or host or request) (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20all%20running%20routines%20based%202b7c5dcbed45800e8f8ac3cc6892f84a.html), I must be able to specify the rate limit mode [constant,max-at,free] when creating a routine run (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20the%20rate%20limit%20mode%20%5Bcon%202b6c5dcbed4580928e65c2575012e68c.html), I must be able to delete a routine run (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20routine%20run%202b8c5dcbed4580c08e56d4e86cf9d276.html), I must be able to delete a routine (Functional%20Requirements/I%20must%20be%20able%20to%20delete%20a%20routine%202b8c5dcbed4580a0b6e0fdeaef5f9e27.html), I must be able to specify the authentication object when creating a routine run (Functional%20Requirements/I%20must%20be%20able%20to%20specify%20the%20authentication%20objec%202b8c5dcbed45806a8fa5f9917d3ce41f.html), I must be able to edit the rate limit mode [constant,max-at,free] when at scheduled state (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20the%20rate%20limit%20mode%20%5Bconsta%202b7c5dcbed45808e8a66e3a32ad1a785.html), I must be able to edit the rate limit mode [constant,max-at,free] when at queued state (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20the%20rate%20limit%20mode%20%5Bconsta%202b7c5dcbed4580f5aa43f74c1e184f78.html), I must be able to edit the rate limit mode [constant,max-at,free] when at running state (Functional%20Requirements/I%20must%20be%20able%20to%20edit%20the%20rate%20limit%20mode%20%5Bconsta%202b7c5dcbed4580deb42dc4d116cf0eb8.html), I must be able to restart a canceled routine, implies creating a routine run with the same config (Functional%20Requirements/I%20must%20be%20able%20to%20restart%20a%20canceled%20routine,%20impl%202b8c5dcbed4580ee82ceec9e76c3f6c1.html), I must be able to resume a failed routine (Functional%20Requirements/I%20must%20be%20able%20to%20resume%20a%20failed%20routine%202b8c5dcbed4580dda5b3cc429b3bb206.html), I must be able to query the cause of failure (Functional%20Requirements/I%20must%20be%20able%20to%20query%20the%20cause%20of%20failure%202b8c5dcbed458082baf4e0280f613772.html), I must be able to restart a canceled routine, implies creating a routine run with the same config (Functional%20Requirements/I%20must%20be%20able%20to%20restart%20a%20canceled%20routine,%20impl%202b8c5dcbed4580edb6badce49cc212e4.html), I must be able to resume a paused routine (Functional%20Requirements/I%20must%20be%20able%20to%20resume%20a%20paused%20routine%202b8c5dcbed45803cadfafc16c1905d02.html), I must be able to cancel all paused routines based on a specific criteria (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20all%20paused%20routines%20based%202b8c5dcbed4580e1903cc1638b1f20cc.html), I must be able to cancel a specific paused routine (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20a%20specific%20paused%20routine%202b8c5dcbed45808c909bc7388e3164ef.html), I must be able to pause all force-run-queued routines based on a specific criteria (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20all%20force-run-queued%20routi%202b7c5dcbed4580bc9e3ddeaf62be1eb2.html), I must be able to cancel all force-run-queued routines based on a specific criteria (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20all%20force-run-queued%20rout%202b7c5dcbed4580f1a793ebffe781fe5b.html), I must be able to pause a a specific force-run-queued routine (Functional%20Requirements/I%20must%20be%20able%20to%20pause%20a%20a%20specific%20force-run-que%202b7c5dcbed45801b8290db93996d233b.html), I must be able to cancel a force-run-queued routine (Functional%20Requirements/I%20must%20be%20able%20to%20cancel%20a%20force-run-queued%20routin%202b7c5dcbed45804ca514eaed70b1907c.html), I must be able to create a routine (Functional%20Requirements/I%20must%20be%20able%20to%20create%20a%20routine%202b6c5dcbed4580db97fbd6484b9cb70a.html), I must be able to view all routine runs under a host with filtering options (Functional%20Requirements/I%20must%20be%20able%20to%20view%20all%20routine%20runs%20under%20a%20ho%202b8c5dcbed458013847dceddb759c926.html), I must be able to view all routine runs under a program with filtering options (Functional%20Requirements/I%20must%20be%20able%20to%20view%20all%20routine%20runs%20under%20a%20pr%202b8c5dcbed4580deb627fc1a3b239099.html), I must be able to view all present routine runs under all programs (Functional%20Requirements/I%20must%20be%20able%20to%20view%20all%20present%20routine%20runs%20un%202b8c5dcbed45809fbf9be84e7acba35d.html), I must be able to view a specific routine run (Functional%20Requirements/I%20must%20be%20able%20to%20view%20a%20specific%20routine%20run%202b8c5dcbed458035825ae52e41cde043.html), I must be able to view results of a routine run in all states (Functional%20Requirements/I%20must%20be%20able%20to%20view%20results%20of%20a%20routine%20run%20in%202b8c5dcbed458067a712f80f2f7bd3c0.html), I must be able to view running configuration of a specific routine run (Functional%20Requirements/I%20must%20be%20able%20to%20view%20running%20configuration%20of%20a%20%202b8c5dcbed45802d8a34d2679db21c12.html), I must be able to authenticate to the central server (Functional%20Requirements/I%20must%20be%20able%20to%20authenticate%20to%20the%20central%20serv%202b9c5dcbed4580deb49cea1d04ce9768.html)"
